school_no,school_name,pct_low_income,n_low_income,min_alloc,alloc_per_student,total_alloc
310,Eastway Elementary,1,580,"166,228.00",490,"284,200.00"
374,C C Spaulding Elementary,1,326,"93,431.60",490,"159,740.00"
400,Y E Smith Elementary,1,402,"115,213.20",490,"196,980.00"
344,Fayetteville Street Elementary,0.9865,293,"83,973.80",490,"143,570.00"
320,Glenn Elementary,0.9266,619,"177,405.40",490,"303,310.00"
315,Eno Valley Elementary,0.9178,458,"131,262.80",490,"224,420.00"
339,Lakewood Elementary,0.9104,386,"110,627.60",490,"189,140.00"
308,Burton Elementary,0.8871,338,"96,870.80",490,"165,620.00"
388,W G Pearson Elementary,0.8822,442,"126,677.20",490,"216,580.00"
304,Bethesda Elementary,0.8729,611,"175,112.60",490,"299,390.00"
352,Merrick-Moore Elementary,0.8508,536,"153,617.60",480,"257,280.00"
346,Lowe's Grove Middle,0.8454,514,"147,312.40",480,"246,720.00"
328,Holt Elementary,0.8261,594,"170,240.40",480,"285,120.00"
355,Neal Middle,0.8145,628,"179,984.80",480,"301,440.00"
306,Brogden Middle,0.7948,430,"123,238.00",480,"206,400.00"
360,Oak Grove Elementary,0.7432,489,"140,147.40",470,"229,830.00"
367,R N Harris Elementary,0.742,256,"73,369.60",470,"120,320.00"
338,James E Shepard Middle,0.7238,338,"96,870.80",470,"158,860.00"
362,Parkwood Elementary,0.7156,400,"114,640.00",470,"188,000.00"
327,Hope Valley Elementary,0.691,445,"127,537.00",470,"209,150.00"
316,George L Carrington Middle,0.6891,594,"170,240.40",470,"279,180.00"
324,Hillandale Elementary,0.6523,424,"121,518.40",470,"199,280.00"
369,Sandy Ridge Elementary,0.6398,373,"106,901.80",470,"175,310.00"
366,Sherwood Githens Middle,0.6223,570,"163,362.00",460,"262,200.00"
332,Forest View Elementary,0.6107,469,"134,415.40",460,"215,740.00"
376,Spring Valley Elementary,0.6088,375,"107,475.00",460,"172,500.00"
318,Club Boulevard Elementary,0.5827,289,"82,827.40",460,"132,940.00"
343,Lucas Middle,0.5675,269,"77,095.40",460,"123,740.00"
372,Southwest Elementary,0.5285,343,"98,303.80",460,"157,780.00"
363,E K Powe Elementary,0.498,245,"70,217.00",460,"112,700.00"
319,Creekside Elementary,0.4067,366,"104,895.60",460,"168,360.00"