school_no,school_name,low_income_pct,low_income_n,min_alloc,aps,total_alloc
310,Eastway Elementary,100.00,580,166,2,28.00,490.00,2,84,200.00
374,C C Spaulding Elementary,100.00,326,93,431.60,490.00,159,740.00
400,Y E Smith Elementary,100.00,402,115,213.20,490.00,196,980.00
344,Fayetteville Street Elementary,98.65,293,83,973.80,490.00,143,570.00
320,Glenn Elementary,92.66,619,177,405.40,490.00,303,310.00
315,Eno,Valley Elementary,91.78,458,131,262.80,490.00,2,24,420.00
339,Lakewood Elementary,91.04,386,110,627.60,490.00,189,140.00
308,Burton Elementary,88.71,338,96,870.80,490.00,165,620.00
388,W G Pearson,Elementary,88.22,442,126,677.20,490.00,216,580.00
304,Bethesda Elementary,87.29,611,175,112,.60,490.00,2,99,390.00
352,Merrick-Moore Elementary,85.08,536,153,617.60,480.00,257,280.00
346,Lowe's Grove Middle,84.54,514,147,312.40,480.00,2,46,720.00
328,Holt Elementary,82,.61,594,170,240.40,480.00,2,85,120.00
355,Neal Middle,81.45,628,179,984.80,480.00,301,440.00
306,Brogden Middle,79.48,430,123,2,38.00,480.00,2,06,400.00
360,Oak Grove Elementary,74.32,489,140,147.40,470.00,229,830.00
367,R N Harris Elementary,74.20,256,73,369.60,470.00,12,0,320.00
338,James E Shepard Middle,72.38,338,96,870.80,470.00,158,860.00
362,Parkwood Elementary,7,1,.56,400,114,640.00,470.00,188,000.00
327,Hope Valley Elementary,69.10,445,127,537.00,470.00,2,09,150.00
316,George L Carrington Middle,68.91,594,170,240.40,470.00,279,180.00
324,Hillandale Elementary,65.2,3,424,12,1,518.40,470.00,199,280.00
369,Sandy Ridge Elementary,63.98,373,106,901.80,470.00,175,310.00
366,Sherwood Githens Middle,62.23,570,163,362.00,460.00,262,2,00.00
332,Forest View Elementary,61.07,469,134,415.40,460.00,215,740.00
376,Spring Valley Elementary,60.88,375,107,475.00,460.00,172,500.00
318,Club Boulevard Elementary,58.27,289,82,827.40,460.00,132,940.00
343,Lucas Middle 56.75,269,77,095.40,460.00,12,3,740.00
372,Southwest Elementary,52.85,343,98,303.80,460.00,157,780.00
363,E K Powe Elementary,49.80,245,70,2,17.00,460.00,112,700.00
319,Creekside Elementary,40.67,366,104,895.60,460.00,168,360.00